close,date,high,low,market_cap,open,volume,Coin_Name,close_lag_1,close_lag_7,close_lag_30,SMA_7,SMA_30,Vol_7,Daily_Return,close_next_day
6.2e-05,2015-12-09,7.1e-05,4.1e-05,1306.0,7e-05,41.0,1337Coin,7e-05,8.5e-05,0.000133,7.514285714285715e-05,8.253333333333332e-05,1.0899978156378283e-05,-0.11428571428571421,7.2e-05
7.2e-05,2015-12-10,7.3e-05,4.6e-05,1153.0,6.2e-05,15.0,1337Coin,6.2e-05,7.2e-05,7.1e-05,7.514285714285715e-05,8.256666666666665e-05,1.0899978156378283e-05,0.16129032258064524,4.9e-05
4.9e-05,2015-12-11,7.6e-05,3.9e-05,1349.0,7.2e-05,30.0,1337Coin,7.2e-05,8.7e-05,7.2e-05,6.971428571428572e-05,8.179999999999998e-05,1.3225156403792047e-05,-0.31944444444444453,4.3e-05
4.3e-05,2015-12-12,5e-05,3.4e-05,909.0,4.9e-05,13.0,1337Coin,4.9e-05,8.9e-05,6.4e-05,6.314285714285714e-05,8.109999999999999e-05,1.3471309902017341e-05,-0.12244897959183665,4.8e-05
4.8e-05,2015-12-13,4.8e-05,4e-05,807.0,4.3e-05,8.0,1337Coin,4.3e-05,8.2e-05,8.8e-05,5.8285714285714284e-05,7.976666666666668e-05,1.1528432760126676e-05,0.11627906976744184,3.8e-05
3.8e-05,2015-12-14,4.9e-05,3.5e-05,889.0,4.8e-05,32.0,1337Coin,4.8e-05,6.4e-05,0.000107,5.457142857142857e-05,7.746666666666667e-05,1.3414633090486711e-05,-0.20833333333333326,4.2e-05
4.2e-05,2015-12-15,5e-05,3.7e-05,707.0,3.8e-05,8.0,1337Coin,3.8e-05,7e-05,9.6e-05,5.057142857142857e-05,7.566666666666666e-05,1.2163567772342998e-05,0.10526315789473673,3.6e-05
3.6e-05,2015-12-16,4.2e-05,3.6e-05,781.0,4.2e-05,10.0,1337Coin,4.2e-05,6.2e-05,0.0001,4.685714285714286e-05,7.353333333333334e-05,1.2061351104921485e-05,-0.1428571428571428,4.1e-05
4.1e-05,2015-12-17,9.1e-05,3.6e-05,679.0,3.6e-05,63.0,1337Coin,3.6e-05,7.2e-05,0.0001,4.242857142857143e-05,7.156666666666667e-05,4.79086432205936e-06,0.13888888888888884,4.7e-05
4.7e-05,2015-12-18,5.1e-05,3.7e-05,767.0,4.1e-05,7.0,1337Coin,4.1e-05,4.9e-05,9.4e-05,4.214285714285714e-05,7e-05,4.375255094603911e-06,0.14634146341463405,4.2e-05
